Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?,hub_delta_v_less_than_1mph,hub_zip_code,hub_location,hub_crash_type,hub_is_police_reported,hub_is_any_injury_reported,data_period,VIN Decoded,Make - Unknown,Automation Feature Version,Automation Feature Version CBI,Engagement Status,Source - Internal Process Review,Source - NHTSA VOQ,Source - Other - See Narrative,Source - Other Entity,Source - State or Other Agency,Roadway-Degraded Surface,Roadway-Missing/Degraded Marking,Roadway-No Unusual Conditions,Roadway-Other-See Narrative,Roadway-Traffic Incident,Roadway-Unknown,Roadway-Wet Surface Condition,Roadway-Work Zone,Weather - Partly Cloudy,Weather - Fog/Smoke/Haze,Weather - Dust Storm,Weather - Severe Hurricane,Weather - Structure-Indoor,Weather - Unk - See Narrative,Any Air Bags Deployed?,Was Any Vehicle Towed?,Were All Passengers Belted?
30270-11220,1,Waymo LLC,Monthly,6.0,2025.0,JUL-2025,SADHW2S14R1,,,JAGUAR,I-PACE, ,2024.0, ,b5be96ad288a508,,,,,,,,,,,,,,,,,,,,,,,ADS,Waymo LLC, , ,Y, , , , ,,,JUN-2025, ,,23:35, ,ea11ad2f69fa240,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,, ,Scottsdale, ,AZ,, ,Street,,,,,,Y, , ,, , ,,,,"Other, see Narrative",Property Damage. No Injured Reported,,"Other, see Narrative",,, , , , , , , , , , ,Y,Proceeding Straight,,,,23.0, , , , , , , , , ,Y,Y, , , ,Y, ,Y, , , ,,, ,,,,,,,,Yes, ,"On June [XXX], 2025 at 11:35 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Scottsdale, Arizona was in a collision involving an unattended bicycle in the roadway on [XXX] near [XXX]. 
The Waymo AV was traveling eastbound in the rightmost lane of [XXX] when the Waymo AV's front and undercarriage made contact with an unattended bicycle that was laying in the middle of the roadway. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage. One of the passengers in the Waymo AV was not belted at the time of the collision.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,True, ,PHOENIX,Single Vehicle,False,False,post_june16,Y, ,"5th Generation ADS, Version 10", ,Verified Engaged, , , , , , , ,Y, , , , , , , , , , , ,Not Applicable,"No Subject Vehicle, No Crash Partner",Subject Vehicle - Not Belted - see Narrative
30270-11221,1,Waymo LLC,Monthly,6.0,2025.0,JUL-2025,SADHW2S13R1,,,JAGUAR,I-PACE, ,2024.0, ,4db8a2c3757e481,,,,,,,,,,,,,,,,,,,,,,,ADS,Waymo LLC, , ,Y, , , , ,,,JUN-2025, ,,16:41, ,1436cd07e601213,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,, ,Los Angeles, ,CA,, ,Street,,,,,,Y, , ,, , ,,,,Pickup Truck,Property Damage. No Injured Reported,,Backing,,, , , , , , ,Y, , , , ,Proceeding Straight,,,,8.0, , ,Y, , , , , , , , , , , ,Y, ,Y, , , ,,, ,,,,,,,,Yes, ,"On June [XXX], 2025 at 4:41 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a pickup truck on [XXX] near [XXX]. 
The Waymo AV was traveling southbound on [XXX] and approached a pick-up truck that was stopped in-lane facing east after making a left turn towards an alley behind [XXX]. As the Waymo AV passed the pick up truck, the pickup truck reversed and the rear of the pickup truck made contact with the driver side of the Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,False, ,LOS_ANGELES,V2V Backing,False,False,post_june16,Y, ,"5th Generation ADS, Version 10", ,Verified Engaged, , , , , , , ,Y, , , , , , , , , , , ,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - No Passenger In Vehicle
30270-11224,1,Waymo LLC,5-Day,,,JUN-2025,SADHW2S17R1,,,JAGUAR,I-PACE, ,2024.0, ,101ca9eb2e2c6ed,,,,,,,,,,,,,,,,,,,,,,,ADS,Waymo LLC, , ,Y, , , , ,,,JUN-2025, ,,17:34, ,4e9b36dcecf6185,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,, ,Mesa, ,AZ,, ,Street,,,,,,Y, , ,, , ,,,,SUV,Property Damage. No Injured Reported,,Parked,,, ,Y, , , , , , , , , ,Proceeding Straight,,,,6.0, , , ,Y, , , , ,Y, , , , , ,Y, ,Y, , , ,,Chandler Police Department, ,,,,,,,,Yes, ,"On June [XXX], 2025 at 5:34 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Mesa, Arizona was in a collision involving an autonomous vehicle on [XXX] near [XXX]. 
The Waymo AV was parked facing east for a passenger pick-up on [XXX] adjacent to a parking lot at [XXX]. A passenger entered the Waymo AV and the Waymo AV began to proceed forward momentarily before the passenger opened the front passenger side door and exited the Waymo AV, prompting the Waymo AV to stop. The passenger then re-entered the Waymo AV and the Waymo AV proceeded to pass to the left of a different Waymo AV stopped facing east on [XXX]. While the first Waymo AV was passing the stopped Waymo AV, the passenger in the moving Waymo AV opened the front passenger side door, which then made contact with the driver side mirror of the stopped Waymo AV. The passenger in the moving Waymo AV was not belted at the time of the collision. At the time of the impact, the Level 4 ADS of both Waymo AVs were engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.", ,True, ,PHOENIX,All Others,True,False,post_june16,Y, ,"5th Generation ADS, Version 10", ,Verified Engaged, , , , , , , ,Y, , , , , , , , , , , ,"No Subject Vehicle, No Crash Partner","Yes Crash Partner, No Subject Vehicle",Subject Vehicle - Not Belted - see Narrative
30270-11225,1,Waymo LLC,Monthly,6.0,2025.0,JUL-2025,SADHW2S12R1,,,JAGUAR,I-PACE, ,2024.0, ,f26490b3ea780c2,,,,,,,,,,,,,,,,,,,,,,,ADS,Waymo LLC, , ,Y, , , , ,,,JUN-2025, ,,13:09, ,e6591dfdcc2f4ce,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,, ,San Francisco, ,CA,, ,Street,,,,,,Y, , ,, , ,,,,Passenger Car,Property Damage. No Injured Reported,,Proceeding Straight,,, , , , , , , , ,Y, , ,Proceeding Straight,,,,21.0, , , , , , , , ,Y, , , , , ,Y, ,Y, , , ,,, ,,,,,,,,Yes, ,"On June [XXX], 2025 at 1:09 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] near [XXX]. 
The Waymo AV was traveling westbound on [XXX]. A passenger car exiting a driveway on the north side of [XXX] entered the roadway in front of a van parked at the curb, and the front of the passenger car made contact with the passenger side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,False, ,SAN_FRANCISCO,V2V Intersection,False,False,post_june16,Y, ,5th Generation ADS Version 10, ,Verified Engaged, , , , , , , ,Y, , , , , , , , , , , ,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted
30270-11170,1,Waymo LLC,Monthly,6.0,2025.0,JUL-2025,SADHW2S1XR1,,,JAGUAR,I-PACE, ,2024.0, ,46b3799ef969057,,,,,,,,,,,,,,,,,,,,,,,ADS,Waymo LLC, , ,Y, , , , ,,,JUN-2025, ,,09:26, ,e00539d9dd3e204,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,, ,San Francisco, ,CA,, ,Street,,,,,,Y, , ,, , ,,,,Passenger Car,Property Damage. No Injured Reported,,Backing,,, , , , , , ,Y, , , , ,Parked,,,,0.0, , , , , , , , , ,Y, , , , ,Y, ,Y, , , ,,, ,,,,,,,,Yes, ,"On June [XXX], 2025 at 9:26 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] near [XXX]. 
The Waymo AV was parked at the curb facing north on [XXX] when a passenger car attempting to parallel park directly in front of the Waymo AV proceeded to reverse, and the back of the passenger car made contact with the front of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,False, ,SAN_FRANCISCO,V2V Backing,False,False,post_june16,Y, ,"5th Generation ADS, Version 10", ,Verified Engaged, , , , , , , ,Y, , , , , , , , , , , ,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - No Passenger In Vehicle
30270-11239,1,Waymo LLC,Monthly,6.0,2025.0,JUL-2025,SADHW2S17R1,,,JAGUAR,I-PACE, ,2024.0, ,a89a25389d6b2e3,,,,,,,,,,,,,,,,,,,,,,,ADS,Waymo LLC, , ,Y, , , , ,,,JUN-2025, ,,00:18, ,62c8177e09ec066,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,, ,Los Angeles, ,CA,, ,Parking Lot,,,,,,Y, , ,, , ,,,,"Other, see Narrative",Property Damage. No Injured Reported,,"Other, see Narrative",,, , , , , , , , , , ,Y,Proceeding Straight,,,,7.0, , , , , , , , , ,Y, , , , ,Y, ,Y, , , ,,, ,,,,,,,,Yes, ,"On June [XXX], 2025 at 12:18 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a chain in a parking lot at [XXX]. 
The Waymo AV was traveling southbound on [XXX] when it made a right turn into a parking lot at [XXX]. As the Waymo AV was traveling westbound into the parking lot, the front of the Waymo AV made contact with a hanging chain separating a section of the parking lot. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV and the chain sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,True, ,LOS_ANGELES,Single Vehicle,False,False,post_june16,Y, ,"5th Generation ADS, Version 10", ,Verified Engaged, , , , , , , ,Y, , , , , , , , , , , ,"No Subject Vehicle, Unknown Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - No Passenger In Vehicle
30270-11244,1,Waymo LLC,5-Day,,,JUL-2025,SADHW2S10R1,,,JAGUAR,I-PACE, ,2024.0, ,c074f592f8aaed7,,,,,,,,,,,,,,,,,,,,,,,ADS,Waymo LLC, , ,Y, , , , ,,,JUN-2025, ,,00:03, ,c5dde17f2aed8f4,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,, ,San Francisco, ,CA,, ,Intersection,,,,,,Y, , ,, , ,,,,SUV,Property Damage. No Injured Reported,,Making Left Turn,,, , , , , , , , ,Y, , ,Proceeding Straight,,,,8.0, , , , , , ,Y, , , , , , , ,Y, ,Y, , , ,,San Francisco Police Department, ,,,,,,,,Yes, ,"On June [XXX], 2025 at 12:03 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] at [XXX]. 
The Waymo AV was traveling westbound on [XXX] and slowing to a stop for a stop sign at the intersection at [XXX]. An SUV that was traveling southbound on [XXX] initiated a left turn at the intersection onto eastbound [XXX]. The SUV continued turning left, crossing the centerline of [XXX] and entering into the Waymo AV's lane of travel. The front of the SUV then made contact with the front driver side of the Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away and airbag deployment. Waymo may supplement or correct its reporting with additional information as it may become available.", ,False, ,SAN_FRANCISCO,V2V Head-on,True,False,post_june16,Y, ,"5th Generation ADS, Version 10", ,Verified Engaged, , , , , , , ,Y, , , , , , , , , , , ,"Yes Crash Partner, No Subject Vehicle","Yes Subject Vehicle, Yes Crash Partner",Subject Vehicle - No Passenger In Vehicle
30270-11245,1,Waymo LLC,5-Day,,,JUL-2025,SADHW2S19R1,,,JAGUAR,I-PACE, ,2024.0, ,a2e2480e89f9781,,,,,,,,,,,,,,,,,,,,,,,ADS,Waymo LLC, , ,Y, , , , ,,,JUN-2025, ,,18:52, ,8756a4e64fc7a92,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,, ,Los Angeles, ,CA,, ,Intersection,,,,,,Y, , ,, , ,,,,SUV,Minor W/O Hospitalization,,Proceeding Straight,,, , , , , , , , ,Y, , ,Stopped,,,,0.0, , , , , , , ,Y, , , , , , ,Y, ,Y, , , ,,, ,,,,,,,,Yes, ,"On June [XXX], 2025 at 6:52 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving an SUV on [XXX] at [XXX]. 
The Waymo AV was traveling northwestbound on [XXX] and was slowing to a stop for the stop sign at the intersection with [XXX]. An SUV approached the Waymo AV from behind and the front of the SUV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage. One of the two passengers in the Waymo AV reported minor injuries.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.", ,False, ,LOS_ANGELES,V2V F2R,True,True,post_june16,Y, ,"5th Generation ADS, Version 10", ,Verified Engaged, , , , , , , ,Y, , , , , , , , , , , ,"No Subject Vehicle, No Crash Partner","Yes Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted
30270-11247,1,Waymo LLC,5-Day,,,JUL-2025,SADHW2S13R1,,,JAGUAR,I-PACE, ,2024.0, ,9244b172b2937e3,,,,,,,,,,,,,,,,,,,,,,,ADS,Waymo LLC, , ,Y, , , , ,,,JUN-2025, ,,18:11, ,b0269ca273ce3a0,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,, ,Austin, ,TX,, ,Street,,,,,, , ,Y,, , ,,,,Heavy Truck,Property Damage. No Injured Reported,,Proceeding Straight,,, ,Y, , , , , , , , , ,Stopped,,,,0.0, , , , ,Y, , , , , , , , , ,Y, ,Y, , , ,,, ,,,,,,,,Yes, ,"On June [XXX], 2025 at 6:11 PM CT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving a box truck on [XXX] near [XXX]. 
The Waymo AV was traveling northwestbound on a narrow portion of [XXX] when it came to a stop to yield to an approaching box truck traveling southeastbound on [XXX]. While the Waymo AV remained stopped, the box truck proceeded forward to pass the Waymo AV and the driver side of the box truck made contact with the rear driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.", ,True, ,AUSTIN,V2V Lateral,False,False,post_june16,Y, ,"5th Generation ADS, Version 10", ,Verified Engaged, , , , , , , ,Y, , , , , , , , , , , ,"No Subject Vehicle, No Crash Partner","Yes Subject Vehicle, No Crash Partner",Subject Vehicle - No Passenger In Vehicle
30270-11167,1,Waymo LLC,Monthly,6.0,2025.0,JUL-2025,SADHW2S11M1,,,JAGUAR,I-PACE, ,2021.0, ,2fa7c86551a0876,,,,,,,,,,,,,,,,,,,,,,,ADS,Waymo LLC, , ,Y, , , , ,,,JUN-2025, ,,15:47, ,42878cba1145d4c,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,, ,Scottsdale, ,AZ,, ,Street,,,,,,Y, , ,, , ,,,,Passenger Car,Property Damage. No Injured Reported,,Backing,,, , , , , , ,Y, , , , ,Parked,,,,0.0, , , , , , , , , ,Y, , , , ,Y, ,Y, , , ,,, ,,,,,,,,Yes, ,"On June [XXX], 2025 at 3:47 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Scottsdale, Arizona was in a collision involving a passenger car on [XXX] at Hayden Road. 
The Waymo AV was parked at the curb facing east on [XXX] when a passenger car that was parked directly in front of the Waymo AV proceeded to reverse, and the rear of the passenger car made contact with the front of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,False, ,PHOENIX,V2V Backing,False,False,post_june16,Y, ,5th Generation ADS Version 10, ,Verified Engaged, , , , , , , ,Y, , , , , , , , , , , ,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - No Passenger In Vehicle
30270-11195,1,Waymo LLC,Monthly,6.0,2025.0,JUL-2025,SADHW2S16M1,,,JAGUAR,I-PACE, ,2021.0, ,5ea534fc5d6467f,,,,,,,,,,,,,,,,,,,,,,,ADS,Waymo LLC, , ,Y, , , , ,,,JUN-2025, ,,18:34, ,8d5cc926e03a30b,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,, ,San Bruno, ,CA,, ,Street,,,,,,Y, , ,, , ,,,,"Other, see Narrative",Property Damage. No Injured Reported,,"Other, see Narrative",,, , , , , , , , , , ,Y,Proceeding Straight,,,,6.0, , , , , , , , , ,Y, , , , ,Y, ,Y, , , ,,, ,,,,,,,,Yes, ,"On June [XXX], 2025 at 6:34 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Bruno, California was in a collision involving a fallen utility line on [XXX] near [XXX]. 
The Waymo AV was traveling northbound on [XXX] when the front of the Waymo AV made contact with a fallen utility line hanging across the roadway. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,True, ,SAN_FRANCISCO,Single Vehicle,False,False,post_june16,Y, ,"5th Generation ADS, Version 10", ,Verified Engaged, , , , , , , , ,Y, , , , , , , , , , ,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - No Passenger In Vehicle
30270-11162,1,Waymo LLC,Monthly,6.0,2025.0,JUL-2025,SADHW2S13R1,,,JAGUAR,I-PACE, ,2024.0, ,6960d469d6a5c3e,,,,,,,,,,,,,,,,,,,,,,,ADS,Waymo LLC, , ,Y, , , , ,,,JUN-2025, ,,16:47, ,1ebe907985a68ed,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,, ,San Francisco, ,CA,, ,Street,,,,,,Y, , ,, , ,,,,SUV,Property Damage. No Injured Reported,,Proceeding Straight,,, , , , , ,Y, , , , , ,Stopped,,,,0.0, , , , ,Y, , , , , , , , , ,Y, ,Y, , , ,,, ,,,,,,,,Yes, ,"On June [XXX], 2025 at 4:47 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] at [XXX]. 
The Waymo AV was traveling northbound on [XXX] and making a slight right onto [XXX] when it came to a stop on the right side of its lane to yield to an SUV traveling southwestbound on [XXX]. The SUV attempted to pass the stationary Waymo AV, stopped momentarily, and then began to reverse. The SUV then continued its attempt to pass, and the front driver side of the SUV made contact with the rear driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,True, ,SAN_FRANCISCO,V2V Head-on,False,False,post_june16,Y, ,"5th Generation ADS, Version 10", ,Verified Engaged, , , , , , , ,Y, , , , , , , , , , , ,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - No Passenger In Vehicle
30270-11146,1,Waymo LLC,5-Day,,,JUN-2025,SADHW2S19R1,,,JAGUAR,I-PACE, ,2024.0, ,8f344f838cfd700,,,,,,,,,,,,,,,,,,,,,,,ADS,Waymo LLC, , ,Y, , , , ,,,JUN-2025, ,,13:28, ,45b0caba122b97f,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,, ,Austin, ,TX,, ,Street,,,,,, , , ,, , ,,,,"Other, see Narrative",Property Damage. No Injured Reported,,"Other, see Narrative",,, , , , , , , , , , ,Y,Proceeding Straight,,,,31.0, , , , , , ,Y, , , ,Y, , , ,Y, ,Y, , , ,,, ,,,,,,,,Yes, ,"On June [XXX], 2025 at 1:28 PM CT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving debris on [XXX] near [XXX]. 
The Waymo AV was traveling southeastbound on [XXX] in the right lane when the vehicle traveling ahead of the Waymo AV made contact with a stationary piece of debris that was in the roadway. The Waymo AV then made contact with the debris as it was moving across the roadway. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.", ,True, ,AUSTIN,All Others,False,False,post_june16,Y, ,"5th Generation ADS, Version 10", ,Verified Engaged, , , , , , , ,Y, , , , , ,Y, , , , , ,"No Subject Vehicle, No Crash Partner","Yes Subject Vehicle, No Crash Partner",Subject Vehicle - No Passenger In Vehicle
30270-11163,1,Waymo LLC,Monthly,6.0,2025.0,JUL-2025,SADHW2S14R1,,,JAGUAR,I-PACE, ,2024.0, ,07ef63da89df93e,,,,,,,,,,,,,,,,,,,,,,,ADS,Waymo LLC, , ,Y, , , , ,,,JUN-2025, ,,15:21, ,4092827daacbd54,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,, ,San Francisco, ,CA,, ,Street,,,,,,Y, , ,, , ,,,,Van,Property Damage. No Injured Reported,,Passing,,, , , , , , , ,Y, , , ,Parked,,,,0.0, , , , ,Y, , , , , , , , , ,Y, ,Y, , , ,,, ,,,,,,,,Yes, ,"On June [XXX], 2025 at 3:21 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a van on [XXX] at [XXX]. 
The Waymo AV was parked towards the curb, with the driver side rear partially in lane on eastbound [XXX] at the designated passenger loading zone with its hazard lights activated for a passenger pick-up. A van traveling northbound on [XXX] began to turn right onto [XXX], and came to a stop mid turn behind the Waymo AV. The van then attempted to complete the right turn, passing the Waymo AV on the left side and the passenger side of the van made contact with the rear driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The two passengers did not have their seatbelts as they were entering the Waymo AV at the time of the collision. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,False, ,SAN_FRANCISCO,V2V Lateral,False,False,post_june16,Y, ,"5th Generation ADS, Version 10", ,Verified Engaged, , , , , , , ,Y, , , , , , , , , , , ,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - Not Belted - see Narrative
